filename,label,duration,rms_mean,rms_std,zcr_mean,zcr_std,centroid_mean,centroid_std,rolloff_mean,rolloff_std,bandwidth_mean,bandwidth_std,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20
malakanin_20251127-214911.wav,malakanin,3.0720181405895692,0.07750471,0.13183497,0.09412080004699248,0.06138637348609704,2425.7155403736406,971.8452221327207,4701.9287109375,1986.7441981951058,2196.7310065230527,683.8016431655091,-268.883,62.04034,-14.68344,25.170761,17.371262,-4.2154026,5.388147,6.0432396,-1.5556159,6.409502,1.3719026,1.1735977,7.412549,6.5883803,1.9703504,2.864149,-0.73698324,0.08184661,-0.6170515,1.3607234
malakanin_20251127-215013.wav,malakanin,3.0720181405895692,0.07251558,0.14877343,0.10577713815789473,0.055067582503326974,1735.7126098457989,393.2866777390472,3028.8959703947367,710.537499854256,1649.889252608885,308.14641590772555,-313.18832,99.9552,-33.276363,15.782653,28.409424,-8.873156,-6.4404593,10.992893,0.7417115,1.9123709,5.3101635,3.5454378,2.9912047,4.260318,1.519227,0.60175467,-2.093908,-0.88211125,0.21946907,1.5272003
malakanin_20251127-215117.wav,malakanin,3.0720181405895692,0.12929009,0.1466799,0.13202684445488722,0.08565881950035334,3831.8843469255894,1446.2767002684523,7269.722707648027,2281.8034730075024,2905.8954104890317,502.994987704384,-174.33713,36.66904,-4.143698,10.871864,5.1962533,-0.4553632,-0.28401688,6.8881474,0.16948932,3.279982,0.71566737,2.857415,-0.89985806,6.191937,2.0454633,2.7254999,-0.39637643,3.1608365,-0.56546867,3.481901
malakanin_20251127-215149.wav,malakanin,3.0720181405895692,0.09844523,0.15959659,0.13000763627819548,0.0731229854643648,2342.0848470784645,995.1783562573066,4106.851356907895,1803.6888480960959,1946.0820361677772,556.6646077433478,-289.58923,76.42644,-31.186094,23.128271,14.346564,-10.047658,6.2421412,7.1402597,-3.626201,6.511255,4.6533146,4.324794,4.6898794,5.4386616,0.14168902,2.0826278,1.3121434,-0.09182445,-2.5536911,-0.24803306
malakanin_20251127-215209.wav,malakanin,3.0720181405895692,0.057991605,0.112443164,0.13493817551691728,0.06255298736034998,2301.354225513311,612.6607846363538,4251.107627467105,1118.9859518930448,2038.869149220184,382.8181722417485,-315.5537,80.48636,-31.781544,38.537052,8.737669,-2.181844,14.257444,-2.9000468,2.978813,6.688823,-2.8810945,3.2184055,2.2269068,4.6912384,3.2245095,4.293459,0.03191187,1.1986959,-1.3899324,-1.0901719
malakanin_20251127-215255.wav,malakanin,3.0720181405895692,0.14001127,0.17679484,0.05869654605263158,0.04578080761990784,3402.1783411292713,1351.6045126882848,6831.368215460527,2384.672134420516,2907.0534823684775,594.5944271549604,-167.9961,45.457962,-1.6864737,12.38105,9.233635,4.1862555,-0.7651387,5.575892,2.105604,4.4433656,1.0017227,4.542067,1.1251117,4.7825637,1.8172848,4.092065,-0.7794658,2.6110468,-0.24432255,3.1219988
malakanin_20251127-220036.wav,malakanin,3.0720181405895692,0.12988639,0.14958693,0.08217443021616541,0.07792658529121153,2948.681958188972,1226.3492300496382,6029.458778782895,2280.7623458230355,2697.9320174912546,656.2469037728737,-224.37079,57.39207,-7.970709,18.956917,8.392661,0.87349683,5.705274,4.719329,0.41096583,6.8451257,1.1621647,5.7026386,2.3951545,4.5617595,0.25469857,3.0338283,-0.5421917,1.6362594,-1.014459,1.0930575
malakanin_20251127-220133.wav,malakanin,3.0720181405895692,0.08407418,0.12036942,0.11885793585526316,0.07061016739813365,3098.2542864681977,1353.1565066350352,5809.188682154605,2578.4411220208704,2481.290161206421,737.1853888474623,-231.57085,56.53498,-19.35693,18.373842,12.575946,-4.850452,3.7538729,6.234937,-1.2651737,5.257948,3.573968,3.6136055,0.79038125,3.0585585,1.3648856,1.6904472,0.3819005,2.826257,-1.9350564,1.5712594
malakanin_20251127-220254.wav,malakanin,3.0720181405895692,0.09228927,0.16180094,0.0674819372650376,0.029871652545188955,1585.998227073368,883.034321780646,2934.2632092927633,1664.0774392435262,1699.70575870701,493.113291649273,-301.3939,108.71938,-14.076802,3.7994566,23.275486,1.5353419,-13.052876,0.06254601,4.007723,1.5047023,1.5495514,4.8198137,2.1933608,2.129941,1.431928,1.3570273,-0.31449285,0.0086660385,-2.5798533,-2.4380574
malakanin_20251127-220409.wav,malakanin,3.0720181405895692,0.10589799,0.19920358,0.04478970864661654,0.02450407278264664,1329.5615463162487,836.4215105363469,2491.0516036184213,1535.8389591536734,1728.205356061933,454.0575508362586,-329.0418,103.62716,10.734731,12.214164,22.164522,13.128308,-6.8168044,-4.556659,1.403431,2.1624696,0.02718739,3.5944605,3.8303213,4.0601144,2.0485349,2.1490612,1.3985505,3.2540648,1.7175484,-0.55675876
